disease_name,similar_diseases_count,known_drugs_count,overall_recommendations_count,similar_recommendations_count,metrics,success,error
carcinoma of liver and intrahepatic biliary tract,28,12,10,5,"{'overall_known_count': 12, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 12, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.16666666666666666, 'similar_f1_score': 0.23529411764705882, 'combined_known_count': 12, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.16666666666666666, 'combined_f1_score': 0.14814814814814814, 'disease_name': 'carcinoma of liver and intrahepatic biliary tract', 'known_drugs_count': 12, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 28}",True,
endocarditis,5,1,10,1,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 1, 'similar_overlap_count': 1, 'similar_precision': 1.0, 'similar_recall': 1.0, 'similar_f1_score': 1.0, 'combined_known_count': 1, 'combined_recs_count': 11, 'combined_overlap_count': 1, 'combined_precision': 0.09090909090909091, 'combined_recall': 1.0, 'combined_f1_score': 0.16666666666666669, 'disease_name': 'endocarditis', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 1, 'similar_diseases_count': 5}",True,
refractory hairy cell leukemia,3,5,10,5,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.2, 'overall_f1_score': 0.13333333333333333, 'similar_known_count': 5, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 5, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.2, 'combined_f1_score': 0.1, 'disease_name': 'refractory hairy cell leukemia', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
neoplasm of mature T-cells or NK-cells,7,8,10,5,"{'overall_known_count': 8, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 8, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 0.375, 'similar_f1_score': 0.4615384615384615, 'combined_known_count': 8, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 0.375, 'combined_f1_score': 0.26086956521739135, 'disease_name': 'neoplasm of mature T-cells or NK-cells', 'known_drugs_count': 8, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 7}",True,
chronic fatigue syndrome,0,4,10,0,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.25, 'overall_f1_score': 0.14285714285714288, 'similar_known_count': 4, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 4, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.25, 'combined_f1_score': 0.14285714285714288, 'disease_name': 'chronic fatigue syndrome', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
vitamin D deficiency,13,7,10,1,"{'overall_known_count': 7, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.2857142857142857, 'overall_f1_score': 0.23529411764705882, 'similar_known_count': 7, 'similar_recs_count': 1, 'similar_overlap_count': 1, 'similar_precision': 1.0, 'similar_recall': 0.14285714285714285, 'similar_f1_score': 0.25, 'combined_known_count': 7, 'combined_recs_count': 11, 'combined_overlap_count': 3, 'combined_precision': 0.2727272727272727, 'combined_recall': 0.42857142857142855, 'combined_f1_score': 0.33333333333333326, 'disease_name': 'vitamin D deficiency', 'known_drugs_count': 7, 'overall_recommendations_count': 10, 'similar_recommendations_count': 1, 'similar_diseases_count': 13}",True,
Chest pain,1,2,10,0,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.5, 'overall_f1_score': 0.16666666666666669, 'similar_known_count': 2, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.5, 'combined_f1_score': 0.16666666666666669, 'disease_name': 'Chest pain', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 1}",True,
dedifferentiated chondrosarcoma,20,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'dedifferentiated chondrosarcoma', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 20}",True,
pseudohypoaldosteronism,29,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'pseudohypoaldosteronism', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 29}",True,
Histiocytosis,2,7,10,0,"{'overall_known_count': 7, 'overall_recs_count': 10, 'overall_overlap_count': 3, 'overall_precision': 0.3, 'overall_recall': 0.42857142857142855, 'overall_f1_score': 0.3529411764705882, 'similar_known_count': 7, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 7, 'combined_recs_count': 10, 'combined_overlap_count': 3, 'combined_precision': 0.3, 'combined_recall': 0.42857142857142855, 'combined_f1_score': 0.3529411764705882, 'disease_name': 'Histiocytosis', 'known_drugs_count': 7, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 2}",True,
limb-girdle muscular dystrophy,54,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.5, 'similar_f1_score': 0.28571428571428575, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.5, 'combined_f1_score': 0.11764705882352941, 'disease_name': 'limb-girdle muscular dystrophy', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 54}",True,
luminal B breast carcinoma,6,3,10,5,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.6666666666666666, 'overall_f1_score': 0.30769230769230765, 'similar_known_count': 3, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 3, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.6666666666666666, 'combined_f1_score': 0.2222222222222222, 'disease_name': 'luminal B breast carcinoma', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 6}",True,
vulvar intraepithelial neoplasia,15,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'vulvar intraepithelial neoplasia', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 15}",True,
HER2 Positive Breast Carcinoma,3,21,10,5,"{'overall_known_count': 21, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 21, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.09523809523809523, 'similar_f1_score': 0.15384615384615385, 'combined_known_count': 21, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.09523809523809523, 'combined_f1_score': 0.1111111111111111, 'disease_name': 'HER2 Positive Breast Carcinoma', 'known_drugs_count': 21, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
adult acute respiratory distress syndrome,3,15,10,5,"{'overall_known_count': 15, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 15, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 0.2, 'similar_f1_score': 0.3, 'combined_known_count': 15, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 0.2, 'combined_f1_score': 0.20000000000000004, 'disease_name': 'adult acute respiratory distress syndrome', 'known_drugs_count': 15, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
severe hemophilia A,6,5,10,5,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 5, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.4, 'similar_f1_score': 0.4000000000000001, 'combined_known_count': 5, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.4, 'combined_f1_score': 0.2, 'disease_name': 'severe hemophilia A', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 6}",True,
Uveal Melanoma,24,43,10,5,"{'overall_known_count': 43, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 43, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 43, 'combined_recs_count': 15, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'Uveal Melanoma', 'known_drugs_count': 43, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 24}",True,
placental site trophoblastic tumor,2,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 1.0, 'similar_f1_score': 0.5714285714285715, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 1.0, 'combined_f1_score': 0.23529411764705882, 'disease_name': 'placental site trophoblastic tumor', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 2}",True,
methylmalonic acidemia,44,1,10,3,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 3, 'similar_overlap_count': 1, 'similar_precision': 0.3333333333333333, 'similar_recall': 1.0, 'similar_f1_score': 0.5, 'combined_known_count': 1, 'combined_recs_count': 13, 'combined_overlap_count': 1, 'combined_precision': 0.07692307692307693, 'combined_recall': 1.0, 'combined_f1_score': 0.14285714285714288, 'disease_name': 'methylmalonic acidemia', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 3, 'similar_diseases_count': 44}",True,
congenital mitral valve insufficiency,23,4,10,5,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.5, 'overall_f1_score': 0.28571428571428575, 'similar_known_count': 4, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 4, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.5, 'combined_f1_score': 0.2105263157894737, 'disease_name': 'congenital mitral valve insufficiency', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 23}",True,
anaplastic meningioma,51,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 1.0, 'similar_f1_score': 0.5714285714285715, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 1.0, 'combined_f1_score': 0.23529411764705882, 'disease_name': 'anaplastic meningioma', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 51}",True,
aromatic L-amino acid decarboxylase deficiency,16,1,10,2,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 2, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 12, 'combined_overlap_count': 1, 'combined_precision': 0.08333333333333333, 'combined_recall': 1.0, 'combined_f1_score': 0.15384615384615385, 'disease_name': 'aromatic L-amino acid decarboxylase deficiency', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 2, 'similar_diseases_count': 16}",True,
"Lymphoma, AIDS-Related",3,20,10,5,"{'overall_known_count': 20, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 20, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.1, 'similar_f1_score': 0.16000000000000003, 'combined_known_count': 20, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.1, 'combined_f1_score': 0.1142857142857143, 'disease_name': 'Lymphoma, AIDS-Related', 'known_drugs_count': 20, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
retinopathy,11,6,10,5,"{'overall_known_count': 6, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 6, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.3333333333333333, 'similar_f1_score': 0.3636363636363636, 'combined_known_count': 6, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.3333333333333333, 'combined_f1_score': 0.19047619047619044, 'disease_name': 'retinopathy', 'known_drugs_count': 6, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 11}",True,
lichen planopilaris,4,4,10,5,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 3, 'overall_precision': 0.3, 'overall_recall': 0.75, 'overall_f1_score': 0.4285714285714285, 'similar_known_count': 4, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.25, 'similar_f1_score': 0.22222222222222224, 'combined_known_count': 4, 'combined_recs_count': 15, 'combined_overlap_count': 4, 'combined_precision': 0.26666666666666666, 'combined_recall': 1.0, 'combined_f1_score': 0.4210526315789474, 'disease_name': 'lichen planopilaris', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 4}",True,
essential tremor,5,19,10,5,"{'overall_known_count': 19, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.05263157894736842, 'overall_f1_score': 0.06896551724137931, 'similar_known_count': 19, 'similar_recs_count': 5, 'similar_overlap_count': 4, 'similar_precision': 0.8, 'similar_recall': 0.21052631578947367, 'similar_f1_score': 0.3333333333333333, 'combined_known_count': 19, 'combined_recs_count': 15, 'combined_overlap_count': 5, 'combined_precision': 0.3333333333333333, 'combined_recall': 0.2631578947368421, 'combined_f1_score': 0.29411764705882354, 'disease_name': 'essential tremor', 'known_drugs_count': 19, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 5}",True,
malnutrition,0,8,10,0,"{'overall_known_count': 8, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.125, 'overall_f1_score': 0.11111111111111112, 'similar_known_count': 8, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 8, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.125, 'combined_f1_score': 0.11111111111111112, 'disease_name': 'malnutrition', 'known_drugs_count': 8, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
epidermolysis bullosa simplex,37,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 1.0, 'overall_f1_score': 0.33333333333333337, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 1.0, 'combined_f1_score': 0.23529411764705882, 'disease_name': 'epidermolysis bullosa simplex', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 37}",True,
Spinocerebellar ataxia type 3,87,2,10,4,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.5, 'overall_f1_score': 0.16666666666666669, 'similar_known_count': 2, 'similar_recs_count': 4, 'similar_overlap_count': 1, 'similar_precision': 0.25, 'similar_recall': 0.5, 'similar_f1_score': 0.3333333333333333, 'combined_known_count': 2, 'combined_recs_count': 14, 'combined_overlap_count': 2, 'combined_precision': 0.14285714285714285, 'combined_recall': 1.0, 'combined_f1_score': 0.25, 'disease_name': 'Spinocerebellar ataxia type 3', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 4, 'similar_diseases_count': 87}",True,
acute basophilic leukemia,20,8,10,5,"{'overall_known_count': 8, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 8, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.125, 'similar_f1_score': 0.15384615384615385, 'combined_known_count': 8, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.125, 'combined_f1_score': 0.08695652173913045, 'disease_name': 'acute basophilic leukemia', 'known_drugs_count': 8, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 20}",True,
pilocytic astrocytoma,17,8,10,5,"{'overall_known_count': 8, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 8, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.25, 'similar_f1_score': 0.3076923076923077, 'combined_known_count': 8, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.25, 'combined_f1_score': 0.1739130434782609, 'disease_name': 'pilocytic astrocytoma', 'known_drugs_count': 8, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 17}",True,
tooth disease,5,5,10,0,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.2, 'overall_f1_score': 0.13333333333333333, 'similar_known_count': 5, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 5, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.2, 'combined_f1_score': 0.13333333333333333, 'disease_name': 'tooth disease', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 5}",True,
refractory plasma cell neoplasm,2,3,10,5,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.3333333333333333, 'overall_f1_score': 0.15384615384615383, 'similar_known_count': 3, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.6666666666666666, 'similar_f1_score': 0.5, 'combined_known_count': 3, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 1.0, 'combined_f1_score': 0.33333333333333337, 'disease_name': 'refractory plasma cell neoplasm', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 2}",True,
anemia (phenotype),11,42,10,5,"{'overall_known_count': 42, 'overall_recs_count': 10, 'overall_overlap_count': 5, 'overall_precision': 0.5, 'overall_recall': 0.11904761904761904, 'overall_f1_score': 0.1923076923076923, 'similar_known_count': 42, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.023809523809523808, 'similar_f1_score': 0.0425531914893617, 'combined_known_count': 42, 'combined_recs_count': 15, 'combined_overlap_count': 6, 'combined_precision': 0.4, 'combined_recall': 0.14285714285714285, 'combined_f1_score': 0.21052631578947364, 'disease_name': 'anemia (phenotype)', 'known_drugs_count': 42, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 11}",True,
erythromelalgia,0,4,10,0,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.25, 'overall_f1_score': 0.14285714285714288, 'similar_known_count': 4, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 4, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.25, 'combined_f1_score': 0.14285714285714288, 'disease_name': 'erythromelalgia', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
Plasmodium falciparum malaria,3,7,10,5,"{'overall_known_count': 7, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 7, 'similar_recs_count': 5, 'similar_overlap_count': 4, 'similar_precision': 0.8, 'similar_recall': 0.5714285714285714, 'similar_f1_score': 0.6666666666666666, 'combined_known_count': 7, 'combined_recs_count': 15, 'combined_overlap_count': 4, 'combined_precision': 0.26666666666666666, 'combined_recall': 0.5714285714285714, 'combined_f1_score': 0.36363636363636365, 'disease_name': 'Plasmodium falciparum malaria', 'known_drugs_count': 7, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
autosomal recessive polycystic kidney disease,17,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'autosomal recessive polycystic kidney disease', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 17}",True,
pemphigus foliaceus,12,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'pemphigus foliaceus', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 12}",True,
